rgi_id,0
RGI60-11.00002,-294.2187405628554
RGI60-11.00012,nan
RGI60-11.00073,nan
RGI60-11.00080,-267.5409040887282
RGI60-11.00106,-580.4703043336558
RGI60-11.00190,-334.17182588371816
RGI60-11.00251,-302.03989459067486
RGI60-11.00289,-259.4945517798893
RGI60-11.00300,-320.5443371867394
RGI60-11.00603,-277.9065199546816
RGI60-11.00619,-256.1789716513265
RGI60-11.00638,-118.20853266901739
RGI60-11.00647,-315.5831074038497
RGI60-11.00719,-618.2952366300224
RGI60-11.00781,-423.7170938533495
RGI60-11.00787,-478.79880000903677
RGI60-11.00797,-288.48645865567687
RGI60-11.00804,-378.7448951490992
RGI60-11.00807,-325.8316741940671
RGI60-11.00843,-303.7884232739018
RGI60-11.00892,-204.61650477331614
RGI60-11.00897,-351.1109579780532
RGI60-11.00918,-233.7540664668834
RGI60-11.00929,-255.0436595453773
RGI60-11.01238,-523.2161319494144
RGI60-11.01450,-764.2954565442524
RGI60-11.01662,-179.82392461229017
RGI60-11.01704,-231.87371410152332
RGI60-11.01776,-284.813844933303
RGI60-11.01834,-550.3325698030569
RGI60-11.01876,-395.16764091964615
RGI60-11.01930,-169.19103593391924
RGI60-11.01987,-264.87856026683494
RGI60-11.02072,-850.9253124902461
RGI60-11.02214,-221.5800977579126
RGI60-11.02245,-442.0311314875844
RGI60-11.02249,-443.2619391938106
RGI60-11.02285,-254.4389559725132
RGI60-11.02648,-115.59403417978359
RGI60-11.02671,-93.63452626558131
RGI60-11.02679,-156.2702124944053
RGI60-11.02704,-302.7207811401613
RGI60-11.02746,-378.923675706661
RGI60-11.02764,-168.71159604559216
RGI60-11.02766,-403.8348238480103
RGI60-11.02773,-528.6408162910911
RGI60-11.02774,-339.45216473847995
RGI60-11.03084,-229.28146447932954
RGI60-11.03135,-287.70767322861514
RGI60-11.03166,-158.5048455418272
RGI60-11.03246,-201.51911910335923
RGI60-11.03638,-267.2195090451587
RGI60-11.03643,-344.00506969490925
RGI60-11.03671,-310.62219835319866
RGI60-11.03674,-320.56317047573475
RGI60-11.03756,-366.0902678833499
