,length_vas,length_oggm,area_vas,area_oggm,volume_vas,volume_oggm
1802,4894.636932668758,6900.0,8036000.0,8057557.6094618365,596297884.1715343,738532072.438349
1803,4894.047372362483,7100.0,8031391.352427801,8036535.059768278,588334137.6905271,727183549.8073412
1804,4893.042594188576,7000.0,8023727.449667761,8019897.305128483,582776435.1750139,719641362.6143594
1805,4891.626472609754,7100.0,8013164.68258741,8001211.812450835,577246961.3850839,711780526.6543584
1806,4890.294171443218,7000.0,8003667.628041872,7996868.237457089,578109352.6230623,715279598.769323
1807,4888.698201274809,7100.0,7992477.794820339,7981195.444056954,574297532.678189,710393133.931912
1808,4886.3844993274315,7000.0,7976148.5450549945,7951479.318470938,564797635.2129368,697049874.5655825
1809,4883.417110714913,6900.0,7955411.58260899,7924812.831901431,556447486.2825813,686968281.2008009
1810,4880.40473718401,7000.0,7935147.880244495,7917903.542635148,555580010.019608,687142824.3385651
1811,4877.310425653178,6800.0,7915007.514636377,7883034.2587756375,553759618.7317451,687279086.4316863
1812,4873.685769875194,6800.0,7891516.332826107,7862326.126580662,546506270.9076651,679667893.7808261
1813,4869.652700299101,6800.0,7865792.295533394,7847777.32548467,541115797.8951489,677817155.4135206
1814,4866.010047897704,6800.0,7844066.468997389,7882635.450759415,545073167.4618498,688977485.3546453
1815,4862.584250231749,6800.0,7824716.344807606,7882464.33242007,546325435.1871554,693313228.7693088
1816,4859.246602960634,6800.0,7806665.400510113,7875789.127829173,546324099.8505055,697323523.6686059
1817,4856.595522572698,6700.0,7794516.268920872,7890285.746849248,553774306.644366,712137127.0496333
1818,4853.9007965085475,6800.0,7782227.203000208,7882797.108668137,552053775.1557473,711009209.2811456
1819,4851.18058023325,6700.0,7770082.7840506155,7878235.1402272945,551096368.1114641,710682517.9873333
1820,4848.157874520341,6800.0,7755904.82449014,7840570.9727260135,546658784.6386726,708015933.1020807
1821,4845.236322246982,6700.0,7742968.761951508,7869624.485952485,547361778.6092746,711442256.3600302
1822,4842.585503522243,6800.0,7732447.471152082,7873513.21580353,549848496.8962634,716003913.7134982
1823,4839.036602177812,6700.0,7715120.317107216,7818373.99649936,537883836.5328449,700530084.4991115
1824,4835.083011124919,6800.0,7695377.181211368,7807397.102409383,532976573.5367639,698356197.2612188
1825,4831.0175530744655,6700.0,7675444.641676954,7801343.669435296,530962196.8109621,696158314.6397848
1826,4826.5815983117645,6800.0,7653263.418592222,7788212.011627918,525616235.80924326,691414006.0221851
1827,4821.6439555351735,6700.0,7627988.060151577,7769761.205508087,519029274.91726613,681090816.8005158
1828,4816.5557710808325,6700.0,7602480.743569549,7758154.341574772,516602295.8670549,680060202.1457872
1829,4810.969407026369,6700.0,7573962.0314281825,7736616.843673566,509725050.9689671,671855000.3137982
1830,4805.5136753884935,6700.0,7547509.821061193,7764381.98455153,510436445.54414177,677162840.4803041
1831,4799.995497528352,6600.0,7521313.022970935,7726028.606367401,508084870.8079882,676024539.6981531
1832,4794.750506605993,6700.0,7498028.447830978,7727159.967843728,509892377.4410036,680767195.5328974
1833,4788.971181958201,6600.0,7471162.7706872085,7709006.19855186,502141761.4335032,671253373.765206
1834,4783.282840796635,6700.0,7446002.228854947,7707387.278791235,502511057.62134737,674601659.9403356
1835,4776.668702177823,6600.0,7414363.156014979,7674459.53180436,490540939.996755,655904088.6147707
1836,4769.567931993962,6700.0,7380368.702507835,7659581.841624853,485116572.3176675,650994720.4411145
1837,4762.435886444306,6600.0,7347338.643590692,7650964.189838983,483580483.81662923,647613251.3508217
1838,4755.2953390826,6700.0,7315221.690059513,7639088.076788569,481685774.6239534,642625177.475602
1839,4748.20812510154,6600.0,7284452.0606303625,7632443.4718198,480519413.49498415,643874062.5005378
1840,4740.999618296571,6600.0,7253584.3189007575,7618567.944746152,477401119.35303456,639529644.5257759
1841,4733.6720700199685,6600.0,7222725.086116238,7606996.999773284,474600372.3331669,639376987.1416082
1842,4726.27124295977,6600.0,7192195.273066731,7594173.770219764,472218845.3595827,638699443.633899
1843,4718.520617554345,6500.0,7159833.151456249,7571450.036304869,466856362.82121617,632036613.6736937
1844,4711.380819151707,6600.0,7133221.966111991,7606260.9543317715,471981939.78017616,639598935.8546408
1845,4704.47155737265,6500.0,7108573.39250971,7570196.628389774,471646378.06870383,641349438.6528088
1846,4698.077465122723,6600.0,7088313.861266196,7599775.340413197,475317510.6246853,648308854.6697098
1847,4691.1908444078945,6500.0,7064275.738657063,7543840.26115919,467773387.48966104,635576986.6636033
1848,4684.454327689287,6600.0,7042230.72753188,7537899.769605229,468673364.1850194,636940341.6185424
1849,4677.488633076758,6500.0,7018654.529154,7519765.322974382,464296020.0805246,632991644.7501116
1850,4670.237452473881,6500.0,6993517.542881255,7497900.599964157,460111568.1204435,627331343.2941638
1851,4663.063132744244,6400.0,6969634.47494495,7483573.925833587,459641299.5591132,628066045.818619
1852,4656.625520275164,6400.0,6951739.656255389,7513897.878251571,465515555.8253476,634485675.7450342
1853,4650.3154687426395,6400.0,6934492.195931428,7469703.524629918,464329682.94306266,635637586.5291982
1854,4643.980265799644,6300.0,6917179.491328414,7460442.054394993,462591978.8781667,633897893.0531539
1855,4637.432486845897,6400.0,6898409.9167977385,7447392.451321105,458944280.37636185,631078591.1765724
1856,4631.010425049787,6200.0,6880952.683789949,7436157.939301191,459107371.2251284,631710546.0850059
1857,4624.561791827502,6300.0,6863326.7601402635,7425682.4133845605,457140503.78593165,629522866.1646733
1858,4617.617820333043,6200.0,6842125.819177145,7406682.584792486,450574141.05412155,621319517.6338589
1859,4610.336393340431,6300.0,6819026.328144004,7389588.526845679,446323363.2354591,616240259.4259372
1860,4602.611405401765,6200.0,6793147.710390184,7365619.202715935,440602793.2183948,607131655.8613572
1861,4595.119991731084,6200.0,6769822.963551127,7385563.941866298,441904555.5883285,614008309.4094157
