,RGIId
266,RGI60-11.00267
267,RGI60-11.00268
268,RGI60-11.00269
269,RGI60-11.00270
270,RGI60-11.00271
271,RGI60-11.00272
272,RGI60-11.00273
273,RGI60-11.00274
274,RGI60-11.00275
275,RGI60-11.00276
276,RGI60-11.00277
277,RGI60-11.00278
278,RGI60-11.00279
279,RGI60-11.00280
280,RGI60-11.00281
281,RGI60-11.00282
282,RGI60-11.00283
283,RGI60-11.00284
284,RGI60-11.00285
285,RGI60-11.00286
286,RGI60-11.00287
287,RGI60-11.00288
288,RGI60-11.00289
289,RGI60-11.00290
290,RGI60-11.00291
291,RGI60-11.00292
292,RGI60-11.00293
293,RGI60-11.00294
294,RGI60-11.00295
295,RGI60-11.00296
296,RGI60-11.00297
297,RGI60-11.00298
298,RGI60-11.00299
299,RGI60-11.00300
300,RGI60-11.00301
301,RGI60-11.00302
302,RGI60-11.00303
303,RGI60-11.00304
304,RGI60-11.00305
305,RGI60-11.00306
306,RGI60-11.00307
307,RGI60-11.00308
308,RGI60-11.00309
309,RGI60-11.00310
310,RGI60-11.00311
311,RGI60-11.00312
312,RGI60-11.00313
313,RGI60-11.00314
314,RGI60-11.00315
315,RGI60-11.00316
316,RGI60-11.00317
317,RGI60-11.00318
318,RGI60-11.00319
319,RGI60-11.00320
320,RGI60-11.00321
321,RGI60-11.00322
322,RGI60-11.00323
323,RGI60-11.00324
324,RGI60-11.00325
325,RGI60-11.00326
326,RGI60-11.00327
327,RGI60-11.00328
328,RGI60-11.00329
329,RGI60-11.00330
330,RGI60-11.00331
331,RGI60-11.00332
332,RGI60-11.00333
333,RGI60-11.00334
334,RGI60-11.00335
335,RGI60-11.00336
336,RGI60-11.00337
337,RGI60-11.00338
338,RGI60-11.00339
339,RGI60-11.00340
340,RGI60-11.00341
341,RGI60-11.00342
342,RGI60-11.00343
343,RGI60-11.00344
344,RGI60-11.00345
345,RGI60-11.00346
346,RGI60-11.00347
347,RGI60-11.00348
348,RGI60-11.00349
349,RGI60-11.00350
350,RGI60-11.00351
351,RGI60-11.00352
352,RGI60-11.00353
353,RGI60-11.00354
354,RGI60-11.00355
355,RGI60-11.00356
356,RGI60-11.00357
357,RGI60-11.00358
358,RGI60-11.00359
359,RGI60-11.00360
360,RGI60-11.00361
361,RGI60-11.00362
362,RGI60-11.00363
363,RGI60-11.00364
364,RGI60-11.00365
365,RGI60-11.00366
366,RGI60-11.00367
367,RGI60-11.00368
368,RGI60-11.00369
369,RGI60-11.00370
370,RGI60-11.00371
371,RGI60-11.00372
372,RGI60-11.00373
373,RGI60-11.00374
374,RGI60-11.00375
375,RGI60-11.00376
376,RGI60-11.00377
377,RGI60-11.00378
378,RGI60-11.00379
379,RGI60-11.00380
380,RGI60-11.00381
381,RGI60-11.00382
382,RGI60-11.00383
383,RGI60-11.00384
384,RGI60-11.00385
385,RGI60-11.00386
386,RGI60-11.00387
387,RGI60-11.00388
388,RGI60-11.00389
389,RGI60-11.00390
390,RGI60-11.00391
391,RGI60-11.00392
392,RGI60-11.00393
