,length_ben,area_ben,volume_ben
1802,4894.636932668758,8036000.0,596297884.1715343
1803,4891.576184845391,8035999.220581306,588125266.5848031
1804,4887.209550486004,8035998.016853228,583845828.8981372
1805,4881.59183744551,8035996.371007905,579383469.8426528
1806,4878.380502255785,8035995.194867315,584261524.1958262
1807,4874.574151359641,8035993.794570257,581835982.9784769
1808,4867.365393718091,8035991.418416185,571878483.6142821
1809,4857.594175529189,8035988.155866406,563312222.5685269
1810,4849.537328789426,8035985.050195034,565229576.3108362
1811,4842.755291799712,8035982.087537796,566451472.943996
1812,4834.19325923765,8035978.503251784,560064759.636314
1813,4824.882912268174,8035974.47341889,555917317.1279494
1814,4820.365356449709,8035971.439098076,565927869.2955922
1815,4818.478304020712,8035969.024836212,571618703.7327766
1816,4818.286530600977,8035967.02099765,575572006.3943019
1817,4823.833079614771,8035966.487068441,590714658.8844045
1818,4829.232256380671,8035966.06727663,591801211.1627814
1819,4834.7583078150865,8035965.813906051,593582437.1622181
1820,4838.959474294793,8035965.367931709,591519686.2487953
1821,4844.700831916023,8035965.411909047,596763295.6435632
1822,4852.604224806978,8035966.140267868,604124481.3562831
1823,4854.64297582051,8035965.605540378,590511949.7927231
1824,4855.169214436168,8035964.727522299,587028778.9585382
1825,4855.765174318162,8035963.875178206,587353946.0119795
1826,4854.884461729849,8035962.6636684025,583593679.701142
1827,4851.595858137505,8035960.809407642,577002569.8644676
1828,4848.5966456015085,8035958.926390631,576898670.8350466
1829,4843.153677578105,8035956.342972322,569701216.9127631
1830,4839.924713367955,8035954.164412077,574075468.3218627
1831,4837.0328578302315,8035952.008999109,574112779.5174732
1832,4836.773491244709,8035950.457380106,580282709.8270724
1833,4833.220043186611,8035948.080509033,571551703.5794585
1834,4831.441737157334,8035946.03547648,575276660.3169805
1835,4823.8770587678855,8035942.4890452055,559717742.410329
1836,4815.013507844006,8035938.322835067,554409813.4809657
1837,4806.963737939636,8035934.1133279,554222894.6697692
1838,4799.574728330883,8035929.879085083,553851558.0916317
1839,4793.481536674177,8035925.799269629,555286286.8130132
1840,4787.350989175897,8035921.573773479,553620513.0632915
1841,4781.484358218835,8035917.256514462,552722300.6480614
1842,4775.9055454803765,8035912.865998159,551954107.5088689
1843,4768.719011469801,8035907.923988499,546404743.640853
1844,4766.456098984195,8035904.034900524,557207965.3380637
1845,4765.496441512892,8035900.498791596,559993420.083155
1846,4767.937678561432,8035897.820111065,568588597.8876872
1847,4766.475278925634,8035894.264204768,559075488.326943
1848,4766.823292346931,8035891.0724507095,563390745.7528586
1849,4765.487275426651,8035887.489238446,559114158.3509954
1850,4762.70941559791,8035883.481791853,555045493.869789
1851,4760.847985741995,8035879.612308135,556692870.4463873
1852,4763.709476869443,8035876.9118188135,568472152.7424873
1853,4766.544338690533,8035874.329077167,569150038.8730311
1854,4769.147690690159,8035871.759374362,569285858.1786422
1855,4770.1209411618165,8035868.844636776,565712429.3708
1856,4771.9003694274215,8035866.137927533,568068098.0868592
1857,4773.024159252827,8035863.320493186,566821955.202292
1858,4770.688595638089,8035859.654816437,558132701.9849795
1859,4766.784191405865,8035855.4778850265,553483722.9200447
1860,4760.3721665990815,8035850.533843964,546053109.5242844
1861,4756.337923476646,8035845.983331233,550499111.3267053
1862,4751.749270124003,8035841.232838297,548044424.8771663
1863,4745.932785323803,8035836.039533791,543736391.1596881
1864,4738.557932546604,8035830.26973921,538297201.4251647
1865,4731.639589923502,8035824.387431658,537585273.5714573
1866,4720.0408335527345,8035817.138183308,524071977.0604678
1867,4711.329262491935,8035810.189159992,528396369.1691219
1868,4703.062044696131,8035803.212359011,527326044.7392829
1869,4692.80301800177,8035795.521299996,520287535.7079186
1870,4684.328968939689,8035787.95691848,522178042.2443979
1871,4675.133580005942,8035780.043862173,518275142.30587184
1872,4667.958619751255,8035772.386525746,521012388.49316484
1873,4663.064400941178,8035765.193425426,524912750.1248991
1874,4659.185405364369,8035758.202436814,526228212.8318567
1875,4653.145518532033,8035750.596342304,519868327.080848
1876,4646.0065165439,8035742.483797336,515642146.32649076
1877,4642.571897858749,8035735.095482221,523075395.88878524
1878,4639.585845776558,8035727.849530398,523337703.76164687
1879,4637.900858361281,8035720.869439977,525843127.8845505
1880,4638.759863000753,8035714.524905463,531806213.3391007
1881,4640.32861527166,8035708.447504223,533811692.0117872
1882,4642.547171769781,8035702.589490023,535849180.04034084
1883,4646.925103017742,8035697.339883119,541888328.8716402
1884,4655.02964391432,8035693.168457772,552538667.9083387
1885,4662.450938657439,8035689.09422426,552865778.7281548
1886,4668.808134192823,8035684.930708051,552038049.2633862
1887,4674.938633361625,8035680.850062134,553089694.541791
1888,4680.479877031479,8035676.772358644,553150906.308333
1889,4690.112913609967,8035673.8335929755,565173490.1650128
1890,4700.044678575843,8035671.25316127,568463709.6927148
1891,4713.403665513551,8035669.756502625,580070250.096521
1892,4727.218625481532,8035668.714476141,584811594.7314553
1893,4741.081112001131,8035668.020073814,588607924.5250982
1894,4753.076003703056,8035667.20982031,587327687.6403152
1895,4764.169232636183,8035666.466157119,588119637.4765487
1896,4772.424826608844,8035665.298498633,583531995.1586969
1897,4783.706073830892,8035665.068808004,593781506.818198
1898,4795.386095029313,8035665.215625752,597872113.8204793
1899,4806.171717636536,8035665.429038093,598606724.4145237
1900,4817.3584578744285,8035666.006454591,602588112.3044294
1901,4824.853538043811,8035665.952645139,595674201.7243102
1902,4832.825606757433,8035666.202570707,598964511.4846663
1903,4842.071343700331,8035666.966025517,604542473.1620649
1904,4851.234128768094,8035667.933487751,606817467.8571695
1905,4859.567146532279,8035668.922374758,607051581.1801648
1906,4866.840953949712,8035669.858196116,606440339.6382012
1907,4873.0004760002685,8035670.701374105,605394270.7172076
1908,4878.216517147058,8035671.466235318,604509505.5579164
1909,4882.8295367024275,8035672.21342091,604289679.1038445
1910,4887.718017778997,8035673.14763741,606280522.2890372
1911,4895.6604566629785,8035674.973096839,615903611.7510263
1912,4900.73002332525,8035676.25828859,610247549.9382411
1913,4909.514150269718,8035678.622532724,621764338.1694496
1914,4919.797766647899,8035681.54423739,628303272.7658459
1915,4931.983445975468,8035685.176095197,636412930.0069573
1916,4943.335110695344,8035688.874454046,637481354.611333
1917,4956.723321304237,8035693.371351987,646330786.4376668
1918,4968.17879172098,8035697.684188266,644668621.1975567
1919,4979.31977899257,8035702.234621875,646995121.2611704
1920,4991.624440324721,8035707.35654474,653395015.3959529
1921,5005.646142302127,8035713.186410879,661727699.7023282
1922,5013.553866598124,8035717.8127871165,648434832.2519512
